Time,T_amb,T_gnd,sRadS,sRadN,sRadE,sRadW,IntHG
2.60059e+07,285.999,293.582,0.000100482,0.000141286,0.000100482,0.000101243,0
2.60071e+07,285.846,293.582,0.000100516,0.000141124,0.000108293,0.000100516,0
2.60083e+07,285.638,293.582,0.000100631,0.000140584,0.000116885,0.000100631,0
2.60095e+07,285.428,293.582,0.000100816,0.00013966,0.000125422,0.000100816,0
2.60107e+07,285.228,293.582,0.000101058,0.000138348,0.000133825,0.000101058,0
2.60119e+07,285.01,293.581,0.000101345,0.000136647,0.000142018,0.000101345,0
2.60131e+07,284.865,293.581,0.000101664,0.000134561,0.000149929,0.000101664,0
2.60143e+07,284.85,293.581,0.000102008,0.0001321,0.000157492,0.000102008,0
2.60156e+07,284.85,293.581,0.00010237,0.00012928,0.000164643,0.00010237,0
2.60168e+07,284.85,293.581,0.000102746,0.00012612,0.000171326,0.000102746,0
2.6018e+07,284.85,293.581,0.000103131,0.000122644,0.000177489,0.000103131,0
2.60192e+07,284.85,293.581,0.000103523,0.000118879,0.000183083,0.000103523,0
2.60204e+07,284.85,293.581,0.00010392,0.000114855,0.000188066,0.00010392,0
2.60216e+07,284.85,293.581,0.00010432,0.000110605,0.000192402,0.00010432,0
2.60228e+07,284.85,293.58,0.000104722,0.000106162,0.000196058,0.000104722,0
2.6024e+07,284.85,293.58,0.000108684,0.000105124,0.000199007,0.000105124,0
2.60252e+07,284.85,293.58,0.000114204,0.000105525,0.00020123,0.000105525,0
2.60264e+07,284.85,293.58,0.0001198,0.000105924,0.000202711,0.000105924,0
2.60277e+07,284.85,293.58,0.000125431,0.000106321,0.000203441,0.000106321,0
2.60289e+07,284.739,293.58,0.000131056,0.000106713,0.000203415,0.000106713,0
2.60301e+07,284.405,293.58,2.19473,0.710356,5.51227,0.710356,0
2.60313e+07,284.223,293.58,58.5718,17.4818,128.552,17.4818,0
2.60325e+07,284.532,293.58,185.736,45.7586,367.25,45.7586,0
2.60337e+07,285.194,293.579,286.96,69.8155,498.135,69.8155,0
2.60349e+07,285.839,293.579,396.601,90.6383,612.268,90.6383,0
2.60361e+07,286.274,293.579,485.225,109.763,664.596,109.763,0
2.60373e+07,286.687,293.579,601.654,133.75,732.876,133.75,0
2.60385e+07,287.003,293.579,675.684,157.267,730.458,157.267,0
2.60398e+07,287.191,293.579,737.301,180.88,708.42,180.88,0
2.6041e+07,287.35,293.579,782.984,202.521,669.137,202.521,0
2.60422e+07,287.515,293.579,766.146,222.668,586.8,222.668,0
2.60434e+07,287.705,293.579,791.628,243.994,541.999,243.994,0
2.60446e+07,287.906,293.578,819.965,258.695,496.939,258.695,0
2.60458e+07,288.115,293.578,843.894,269.008,446.851,269.008,0
2.6047e+07,288.42,293.578,861.091,277.057,392.374,277.057,0
2.60482e+07,288.863,293.578,873.289,283.593,335.224,283.593,0
2.60494e+07,289.219,293.578,880.259,289.022,289.022,301.705,0
2.60506e+07,289.217,293.578,880.264,292.663,292.663,369.434,0
2.60518e+07,288.921,293.578,876.091,292.947,292.947,433.565,0
2.60531e+07,288.744,293.578,897.227,283.397,283.397,500.727,0
2.60543e+07,288.884,293.578,906.774,268.604,268.604,568.962,0
2.60555e+07,289.095,293.577,863.499,256.296,256.296,615.979,0
2.60567e+07,289.244,293.577,800.569,242.758,242.758,644.849,0
2.60579e+07,289.284,293.577,735.734,227.728,227.728,663.654,0
2.60591e+07,289.286,293.577,673.975,212.96,212.96,677.069,0
2.60603e+07,289.253,293.577,581.144,194.327,194.327,646.861,0
2.60615e+07,289.171,293.577,527.298,176.745,176.745,650.68,0
2.60627e+07,289.01,293.577,449.031,151.346,151.346,615.382,0
2.60639e+07,288.764,293.577,204.407,83.5885,83.5885,300.913,0
2.60652e+07,288.257,293.577,27.7714,13.9751,13.9751,42.7269,0
2.60664e+07,287.549,293.576,0.000145538,0.0001077,0.0001077,0.000199773,0
2.60676e+07,287.056,293.576,0.000140138,0.000107323,0.000107323,0.000201737,0
2.60688e+07,286.837,293.576,0.000134626,0.000106939,0.000106939,0.000202963,0
2.607e+07,286.638,293.576,0.00012904,0.00010655,0.00010655,0.000203441,0
2.60712e+07,286.45,293.576,0.000123423,0.000106155,0.000106155,0.000203165,0
2.60724e+07,286.268,293.576,0.000117817,0.000105757,0.000105757,0.000202135,0
2.60736e+07,286.097,293.576,0.000112262,0.000105357,0.000105357,0.000200357,0
2.60748e+07,285.947,293.576,0.0001068,0.000104954,0.000104954,0.000197844,0
2.6076e+07,286.058,293.576,0.000104552,0.000107633,0.000104552,0.000194611,0
2.60772e+07,286.361,293.575,0.00010415,0.000111987,0.00010415,0.000190683,0
2.60785e+07,286.443,293.575,0.00010375,0.000116134,0.00010375,0.000186088,0
2.60797e+07,286.292,293.575,0.000103354,0.000120041,0.000103354,0.00018086,0
2.60809e+07,286.121,293.575,0.000102963,0.000123677,0.000102963,0.000175039,0
2.60821e+07,285.936,293.575,0.00010258,0.000127013,0.00010258,0.000168668,0
2.60833e+07,285.731,293.575,0.000102208,0.000130022,0.000102208,0.000161797,0
2.60845e+07,285.52,293.575,0.000101851,0.000132684,0.000101851,0.000154481,0
2.60857e+07,285.335,293.575,0.000101514,0.00013498,0.000101514,0.000146778,0
2.60869e+07,285.293,293.575,0.000101205,0.000136896,0.000101205,0.000138753,0
2.60881e+07,285.347,293.574,0.000100932,0.000138425,0.000100932,0.000130474,0
2.60893e+07,285.341,293.574,0.000100708,0.000139566,0.000100708,0.000122017,0
2.60906e+07,285.178,293.574,0.000100547,0.00014032,0.000100547,0.000113457,0
2.60918e+07,284.964,293.574,0.000100461,0.000140694,0.000100461,0.000104873,0
2.6093e+07,284.846,293.574,0.000100459,0.000140693,0.000104578,0.000100459,0
2.60942e+07,285.002,293.574,0.000100541,0.000140316,0.00011316,0.000100541,0
2.60954e+07,285.263,293.574,0.000100699,0.00013956,0.000121719,0.000100699,0
2.60966e+07,285.342,293.574,0.00010092,0.000138419,0.000130179,0.00010092,0
2.60978e+07,285.235,293.574,0.000101191,0.000136888,0.000138462,0.000101191,0
2.6099e+07,285.047,293.573,0.000101499,0.000134971,0.000146493,0.000101499,0
2.61002e+07,284.793,293.573,0.000101835,0.000132675,0.000154204,0.000101835,0
2.61014e+07,284.35,293.573,0.000102191,0.000130012,0.000161531,0.000102191,0
2.61026e+07,283.899,293.573,0.000102562,0.000127,0.000168413,0.000102562,0
2.61039e+07,283.75,293.573,0.000102945,0.000123663,0.000174796,0.000102945,0
